a,b,c,y
1768,335,0.44,60
6986,678,0.93,72
9687,797,0.59,93
3553,639,0.78,28
5677,884,0.95,49
3839,770,0.35,8
6711,951,0.39,51
4565,305,0.28,42
8510,732,0.64,83
1666,277,0.49,39
6697,554,0.71,64
2860,759,0.95,36
6890,562,0.7,39
3344,905,0.66,95
8360,793,0.81,93
3507,261,0.83,96
1805,427,0.96,35
5460,365,0.37,54
7935,357,0.69,54
4245,851,0.71,48
1737,767,0.85,82
3551,481,0.97,33
8346,967,0.19,39
9128,478,0.75,21
4809,285,0.05,60
7056,918,0.55,50
6708,328,0.36,66
5674,621,0.05,81
3240,198,0.14,44
9799,115,0.5,29
6469,684,0.52,40
6330,347,0.68,98
1746,401,0.83,91
5354,350,0.84,74
2388,155,0.78,10
9226,794,0.31,70
4456,455,0.45,15
6190,760,0.54,89
2400,171,0.2,16
5947,611,0.46,94
7152,335,0.49,65
9495,889,0.11,95
8576,176,0.83,62
2050,653,0.11,85
8323,986,0.18,92
4767,955,0.8,49
2395,391,0.27,84
6030,830,0.4,92
8880,238,0.88,3
4614,237,0.72,6
5213,623,0.16,63
9164,925,0.19,13
9574,543,0.4,31
1296,582,0.2,88
4402,129,0.48,23
8422,643,0.92,77
6873,426,0.69,69
3322,463,0.32,84
4433,394,0.16,1
4279,391,0.88,51
4365,681,0.38,22
2443,922,0.68,22
4361,560,1.0,32
3488,274,0.39,17
8549,922,0.71,9
2006,997,0.6,89
4929,362,0.76,15
7679,335,0.98,35
5792,639,0.33,65
4567,529,0.74,8
3120,872,0.44,87
9286,927,0.59,77
6094,849,0.31,39
9117,418,0.34,64
4645,454,0.35,36
6109,780,0.56,84
1410,352,0.76,64
8155,222,0.1,37
1342,460,0.36,58
4460,293,0.07,91
9701,511,0.12,15
4436,618,0.84,94
2268,958,0.95,59
5249,899,0.93,68
9356,516,0.48,92
3230,254,0.18,84
7981,502,0.7,15
5294,239,0.96,53
5233,975,0.41,23
2648,874,0.68,92
7370,950,0.98,11
8674,118,0.85,41
5260,164,0.28,83
7663,936,0.29,57
3136,657,0.23,14
7901,412,0.82,22
7270,543,0.2,25
6201,492,0.38,5
6401,500,0.8,37
3215,535,0.95,11
9278,149,0.52,50
1598,989,0.38,57
5225,172,0.3,51
1496,869,0.96,45
5923,245,0.48,58
5809,614,0.08,88
1472,635,0.23,91
3606,541,0.62,14
4470,786,0.13,86
7512,461,0.44,52
6988,741,0.25,12
6913,483,0.3,48
2518,341,0.27,42
1646,140,0.13,94
2014,417,0.22,60
9097,223,0.43,67
8521,697,0.06,51
9658,542,0.47,43
3792,850,0.63,38
5562,961,0.77,66
5792,248,0.5,85
2325,586,0.2,88
2399,516,0.21,57
4197,178,0.65,8
1605,230,0.8,32
5545,721,0.33,77
9319,208,0.57,14
3037,496,0.1,22
4407,416,0.04,90
4366,245,1.0,21
9669,453,0.03,96
1522,141,0.13,49
1726,986,0.44,24
1810,579,0.44,31
5935,332,0.14,59
7097,976,0.78,1
3502,907,0.25,34
2653,730,0.75,83
5264,890,0.22,67
9838,565,0.06,52
5856,974,0.94,84
8950,531,0.98,71
6275,198,0.46,84
3818,238,0.5,81
5825,678,0.62,19
6538,548,0.25,80
4873,113,0.1,87
8026,183,0.39,92
1636,163,0.02,55
4970,334,0.52,68
3059,132,0.43,14
8373,867,0.46,80
1966,687,0.9,96
5948,785,0.17,96
4435,917,0.21,15
8136,941,0.01,18
6950,435,0.06,32
7333,798,0.13,65
7917,161,0.48,38
1978,639,0.34,20
7660,629,0.18,79
2343,591,0.2,51
8775,872,0.33,98
3830,124,0.16,51
5496,702,0.52,73
7531,852,0.23,43
8727,607,0.02,12
2778,119,0.2,82
9384,806,0.09,12
8354,561,0.35,16
7084,731,0.27,60
9530,715,0.61,76
1771,228,0.13,42
2390,405,0.61,51
4421,391,0.45,33
8094,255,0.85,1
5472,309,0.95,96
1552,668,0.1,35
3035,217,1.0,16
3150,284,0.54,75
9240,356,0.36,36
5885,915,0.58,65
7481,904,0.31,77
7898,653,0.91,14
5196,133,0.42,3
9542,158,0.09,63
5138,669,0.15,21
2596,987,0.12,97
8596,564,0.79,68
3145,213,0.43,78
9842,669,0.44,51
5555,257,0.1,93
7721,878,0.52,72
6551,982,0.58,8
1571,834,0.7,61
4427,877,0.74,99
2311,619,0.08,71
7703,873,0.32,79
7621,360,0.61,37
4794,237,0.04,64
8733,352,0.67,14
8058,585,0.03,90
6110,677,0.56,99
4780,861,0.4,16
6263,227,0.89,41
6637,866,1.0,8
2668,593,0.29,17
4539,875,0.37,5
2019,999,0.36,12
7004,608,0.45,22
2991,346,0.96,27
5811,651,0.25,82
5770,876,0.24,73
2066,968,0.71,50
5289,297,0.21,45
5976,867,0.03,85
1976,368,0.04,48
1829,699,0.05,99
9623,804,0.9,45
5009,431,0.63,72
7234,782,0.89,25
2683,528,0.53,37
6504,647,0.22,17
9222,354,0.73,3
1374,750,0.12,7
8312,194,0.85,98
1386,922,0.73,68
8704,805,0.92,22
4645,628,0.39,94
3472,471,0.25,83
6884,227,0.18,75
8708,824,0.06,25
1963,343,0.02,72
7003,556,0.01,58
5507,809,0.71,5
1614,785,0.52,63
5777,959,0.6,62
6213,829,0.49,99
6446,157,0.69,78
8981,362,0.01,39
3258,353,0.17,58
3275,834,0.23,46
6302,119,0.05,63
7424,864,0.73,23
2309,549,0.72,17
6302,430,0.81,67
7258,139,0.87,15
8428,283,0.97,28
4842,430,0.55,21
7525,952,0.35,95
4703,702,0.8,22
5172,255,0.76,14
2296,603,0.57,68
5427,232,0.17,19
1884,156,0.65,62
5044,314,0.07,96
2666,657,0.47,92
6137,329,0.89,76
2719,677,0.88,28
9125,637,0.34,45
2137,725,0.92,57
2448,702,0.73,45
9964,872,0.85,50
6938,575,0.4,28
7603,586,0.71,69
2400,989,0.17,10
9310,103,0.77,37
5072,911,0.45,50
5568,415,0.77,12
2684,415,0.97,92
2549,812,0.1,40
4413,963,0.53,25
3220,556,0.33,66
6547,675,0.17,97
4029,220,0.56,62
5242,498,0.09,97
5325,249,0.06,24
4571,646,0.05,23
2109,327,0.34,29
8764,272,0.45,85
6486,175,0.54,3
1470,336,0.89,61
7590,921,0.42,88
8122,191,0.66,91
1108,698,0.87,63
8344,524,0.3,99
9872,456,0.92,2
9687,263,0.95,76
3739,254,0.57,47
4114,974,0.7,4
1451,954,0.71,48
4628,411,0.55,62
6470,194,0.28,53
1538,892,0.97,89
4920,746,0.75,11
4518,840,0.25,52
2808,500,0.3,40
4185,465,0.63,23
2586,158,1.0,74
9874,388,1.0,37
4622,167,0.03,39
6169,950,0.31,6
8339,381,0.27,17
1680,922,0.19,59
5127,675,0.52,52
9054,487,0.54,43
1986,864,0.31,74
9146,430,0.11,20
3266,830,0.64,94
3819,912,0.8,11
9223,613,0.8,50
8780,600,0.28,45
5755,340,0.41,86
4995,205,0.27,26
3704,514,0.99,2
5726,478,0.24,32
9776,192,0.2,57
2500,140,0.43,44
3185,963,0.37,52
6626,595,0.02,74
3359,802,0.2,21
5298,926,0.77,8
6378,526,0.3,3
2230,556,0.44,54
9749,489,0.04,8
4120,390,0.85,74
4473,415,0.32,53
3539,541,0.51,28
8477,276,0.57,76
1291,138,0.37,4
7328,419,0.0,90
5490,909,0.37,77
7114,773,0.67,90
5919,316,0.43,10
6540,297,0.66,91
8006,479,0.57,37
5885,626,0.78,99
2020,476,0.86,28
1832,904,0.06,14
6335,630,0.45,71
8266,562,0.86,4
4738,716,0.16,63
3305,998,0.93,84
2748,488,0.42,91
8233,737,0.63,2
6000,317,0.66,68
8398,348,0.37,46
5046,989,0.9,48
3082,242,0.23,96
6153,269,0.5,39
9916,499,0.47,78
2065,468,0.42,10
7918,246,0.46,22
6614,417,0.92,2
1574,109,0.16,35
6440,254,0.05,88
7357,964,0.3,19
1900,167,0.1,45
6657,213,0.57,13
3105,419,0.65,38
6215,845,0.31,47
3574,665,0.73,35
7526,844,0.8,36
9884,539,0.21,80
6173,595,0.95,94
5047,922,0.1,15
3001,144,0.33,19
6602,280,0.44,94
5690,951,0.22,84
2569,951,0.83,47
4823,688,0.67,57
9278,504,0.51,34
7399,946,0.35,12
1966,681,0.98,45
3165,248,0.67,57
7598,714,0.13,97
9128,565,0.84,19
2094,786,0.81,34
6365,118,0.79,28
7396,527,0.63,58
1089,670,0.42,21
7402,855,0.97,96
1799,872,0.95,87
9975,100,0.36,64
3029,684,0.3,44
2437,774,0.8,79
3996,520,0.29,19
1179,436,0.69,67
7130,322,0.22,8
8027,902,0.78,37
4881,238,0.35,76
3997,153,0.64,77
4932,189,0.48,78
2754,612,0.04,83
4393,116,0.73,43
9064,853,0.18,64
4654,155,0.7,82
2403,285,0.74,58
1871,819,0.49,24
4206,507,0.46,64
3160,999,0.31,79
5174,996,0.57,68
6562,536,0.56,48
8592,777,0.41,33
8943,410,0.17,50
5868,654,0.38,64
9521,407,0.62,33
1100,863,0.73,45
7291,182,0.64,47
6972,839,0.58,85
5287,940,0.22,93
3219,687,0.11,77
5950,862,0.19,89
7110,293,0.37,13
5823,288,0.01,42
7447,515,0.13,44
4743,866,0.13,7
9953,314,0.21,7
7444,236,0.84,1
4924,399,0.79,54
1615,478,0.85,5
3476,278,0.8,99
6357,843,0.66,77
3421,979,0.26,89
8738,486,0.75,42
4115,995,0.26,60
1807,236,0.39,92
4769,691,0.14,56
3555,417,0.07,60
5149,442,0.7,49
9075,269,0.91,69
2710,143,0.82,91
5768,684,0.62,74
4748,538,0.29,15
1738,284,0.3,41
4897,951,0.28,24
5640,861,0.82,23
6009,686,0.36,72
9798,232,0.85,86
2192,983,0.33,15
6614,824,0.67,98
6562,826,0.1,94
9453,299,0.88,97
2477,383,0.85,6
8315,282,0.43,9
7142,246,0.24,92
3981,240,0.65,7
4068,265,0.25,68
9930,836,0.03,79
4404,837,0.44,97
9330,264,0.85,90
6316,184,0.42,36
4465,645,0.62,52
9282,951,0.43,44
6564,654,0.5,9
7441,942,0.06,59
7538,203,0.08,7
5901,654,0.74,36
4080,908,0.4,33
7430,740,0.86,75
4075,669,0.49,25
5604,663,0.26,10
8512,536,0.54,42
5306,770,0.11,86
1397,250,0.68,15
8077,419,0.35,81
4708,573,0.93,51
1037,709,0.96,27
3279,677,0.56,12
4400,943,0.57,33
9827,700,0.12,65
4750,985,0.02,35
1078,961,0.09,92
4577,721,0.77,76
9649,533,0.64,36
3423,753,0.48,51
9066,147,0.42,83
7083,100,0.04,7
7822,909,0.11,39
1608,231,0.06,62
7517,456,0.82,42
9931,714,0.88,27
5509,195,0.06,29
4696,487,0.35,83
7261,650,0.83,51
4223,959,0.8,22
2287,548,0.23,94
8713,613,0.11,6
1065,169,0.84,5
5052,815,0.36,74
7741,559,0.55,18
9847,552,0.84,35
2258,384,0.74,74
3959,358,0.28,75
8929,186,0.66,28
7664,291,0.56,58
8973,637,0.8,38
6367,347,0.47,32
4831,739,0.12,9
7674,359,0.67,40
8568,137,0.88,77
9626,854,0.51,80
5719,272,0.96,37
9942,318,0.9,78
3036,984,0.68,47
3523,696,0.64,87
4855,165,0.44,86
3195,678,0.13,1
8803,407,0.66,34
6481,316,0.23,48
9145,538,0.64,91
7381,837,0.83,55
3932,391,0.94,76
1089,322,0.1,63
4691,899,0.52,53
6624,811,0.29,37
6330,827,0.29,24
5743,878,0.74,99
6819,187,0.4,47
9120,609,0.3,70
3850,580,0.98,85
1345,675,0.06,53
6288,153,0.13,6
3630,630,0.29,7
7494,469,0.36,66
1847,593,0.6,88
1480,374,0.53,95
6949,337,0.24,59
2877,451,0.33,83
8604,361,0.95,65
3986,463,0.36,19
9763,957,0.0,26
1453,158,0.85,52
8346,273,0.27,33
7036,187,0.13,39
9949,437,0.81,94
9351,894,0.1,20
3118,616,0.84,71
7648,927,0.57,58
1214,351,0.76,57
3968,623,0.82,2
4091,562,0.53,59
6075,890,0.43,24
5014,902,0.78,81
4894,496,0.64,32
4437,386,0.88,79
3502,779,0.45,57
3722,237,0.63,3
8989,247,0.82,87
7696,860,0.83,49
3948,321,0.77,57
4556,350,0.91,54
8557,812,0.26,62
6512,523,0.15,64
1663,553,0.52,47
3412,437,0.32,60
5051,401,0.51,35
9314,682,0.75,1
8567,856,0.31,68
9524,391,0.87,13
5223,973,0.01,85
3136,891,0.27,21
7187,666,0.35,83
2352,256,0.69,28
8284,400,0.25,26
1868,557,0.75,64
9576,953,0.21,42
7542,841,0.35,28
7930,377,0.21,65
6508,931,0.06,67
7138,189,0.64,33
6043,860,0.14,95
5840,947,0.11,13
9368,732,0.13,98
8096,419,0.1,73
2961,734,0.87,82
3235,761,0.85,69
8352,147,0.06,45
6852,189,0.28,61
9505,894,0.99,27
1956,349,0.53,53
9344,278,0.31,62
9515,263,0.36,24
2199,917,0.42,60
8011,166,0.88,57
8613,570,0.47,1
2020,260,0.37,39
7144,485,0.3,42
2646,724,0.62,3
7308,692,0.17,11
8431,295,0.64,47
1243,310,0.31,32
1289,804,0.19,28
8279,947,0.96,3
8455,497,0.06,73
3372,746,0.95,31
6182,100,0.89,85
5256,595,0.77,61
9208,666,0.04,82
7384,191,0.58,8
5034,831,0.5,19
9773,272,0.26,17
2653,926,0.91,51
6503,122,0.08,89
9696,870,0.5,44
3752,877,0.16,11
7786,288,1.0,59
2893,222,0.35,44
2533,163,0.31,53
4924,868,0.83,19
1664,380,0.49,92
3639,231,0.22,27
6554,662,0.55,74
7455,796,0.86,85
7193,201,0.66,15
2900,471,0.7,97
7232,675,0.04,66
1670,926,0.0,61
8238,861,0.19,97
6491,950,0.52,98
8219,973,0.39,20
1844,451,0.18,95
1185,272,0.61,42
1040,896,0.95,9
2790,655,0.76,73
4158,217,0.97,36
7863,248,0.58,42
5532,858,0.22,80
1687,985,0.5,97
4756,629,0.05,39
4185,357,0.46,30
6094,968,0.75,3
6476,497,0.5,80
6689,516,0.35,85
7064,769,0.05,25
9818,650,0.28,49
7438,302,0.33,10
4287,671,0.1,23
5991,762,0.18,40
1142,719,0.45,29
6622,683,0.54,18
6449,302,0.66,71
3031,912,0.78,56
1066,289,0.2,96
9024,177,0.46,37
1518,234,0.86,41
6349,199,0.34,84
8364,427,0.61,26
9366,261,0.86,87
2472,838,0.72,83
1721,583,0.39,20
9609,540,0.9,88
7825,963,0.0,87
5959,215,0.17,14
2571,363,0.28,42
9436,413,0.44,61
6103,881,0.42,51
5138,163,0.69,23
6496,845,0.31,52
2759,454,0.65,29
9752,157,0.27,34
2487,408,0.86,26
6665,306,0.92,36
1085,695,0.19,92
6565,313,0.81,42
8805,380,0.38,82
4515,867,0.5,26
6739,304,0.79,73
5896,575,0.46,91
7410,802,0.04,57
7848,662,0.87,46
9965,739,0.73,29
1767,253,0.81,59
5915,728,0.24,76
9773,365,0.92,3
4202,861,0.87,98
1168,822,0.14,77
1146,460,0.72,40
6100,487,0.73,62
9550,243,0.48,47
9927,142,0.34,75
3063,740,0.23,62
6558,139,0.07,53
3422,469,0.86,94
9013,963,0.79,69
4306,966,0.14,52
4558,731,0.37,34
8207,904,0.97,72
2829,736,0.21,67
4188,550,0.12,42
4953,777,0.18,95
2745,570,0.38,25
2915,751,0.61,82
9746,512,0.26,44
3032,920,0.36,76
7160,109,0.1,56
6434,905,0.94,67
4861,845,0.16,91
3786,369,0.8,19
1341,466,0.2,48
4911,364,0.0,58
9058,458,0.27,17
7681,426,0.19,97
1445,578,0.5,92
8164,830,0.58,14
1007,421,0.53,23
9652,834,0.76,58
4534,237,0.77,39
3290,318,0.8,62
3846,933,0.32,61
1781,147,0.49,18
5201,955,0.59,81
3262,895,0.96,31
6698,300,0.1,91
4181,123,0.24,58
9815,602,0.75,70
7373,115,0.88,82
3162,222,0.2,34
1173,620,0.2,20
3120,832,0.36,60
8672,342,0.27,62
4661,182,0.9,50
9632,466,1.0,70
6561,902,0.44,28
5803,570,0.55,49
6735,576,0.71,80
2590,443,0.88,70
9597,671,0.27,54
7317,927,0.62,73
6504,469,0.34,2
1235,455,0.45,36
7980,550,0.27,1
4835,885,0.09,62
5746,898,0.62,35
7484,533,0.48,17
2979,177,0.12,33
5657,249,0.77,69
6128,856,0.28,14
9010,710,0.86,76
7918,855,0.2,14
6276,875,0.06,35
8764,543,0.21,23
4517,705,0.32,28
9096,589,0.79,27
4560,666,0.18,35
7554,210,0.99,2
6206,658,0.73,26
2112,758,0.31,45
5450,802,0.34,70
8465,582,0.17,45
7958,923,0.48,72
1577,869,0.67,73
3623,717,0.51,14
6405,401,0.54,59
9876,232,0.88,6
8700,859,0.23,49
9624,499,0.12,12
3175,732,0.68,5
2976,549,0.93,28
7880,470,0.54,89
4622,779,0.27,79
1995,754,0.02,3
7983,239,0.94,85
9816,529,0.96,8
1893,238,0.08,92
8097,185,0.61,94
9324,213,0.19,59
5285,401,0.53,24
3551,977,0.7,1
5507,314,0.43,55
3819,360,0.44,61
1906,141,0.24,74
3185,239,0.0,21
8846,702,0.26,7
9593,601,0.31,15
2727,832,0.8,67
9668,856,0.26,94
6740,124,0.31,82
1006,103,0.11,31
9559,118,0.13,73
8014,605,0.02,94
6585,316,0.11,17
3145,964,0.25,60
1535,975,0.05,13
7557,222,0.21,62
4756,821,0.53,68
6608,851,0.25,20
1237,425,0.9,75
4514,576,0.12,49
4210,829,0.82,62
5136,897,0.85,63
9201,663,0.45,70
5716,981,0.36,75
7061,971,0.99,16
9377,167,0.09,34
1942,843,0.64,82
8734,901,0.71,30
1540,719,0.11,5
1335,895,0.09,95
6764,708,0.53,4
7852,507,0.09,63
4056,589,0.67,41
4934,917,0.75,18
9968,587,0.25,71
5401,632,0.56,32
4380,658,0.72,16
8504,226,0.97,56
9073,534,0.99,57
1312,981,0.21,66
3078,369,0.34,2
2024,700,1.0,92
4883,150,0.33,98
9352,424,0.85,70
4811,850,0.99,26
9207,289,0.81,40
8870,721,0.86,9
3061,845,0.14,42
7637,713,0.19,74
4411,574,0.14,54
9798,586,0.56,14
3343,828,0.26,97
6785,949,0.62,17
1624,330,0.14,42
6316,859,0.89,48
7050,367,0.02,70
9924,304,0.39,16
6734,563,0.07,54
1197,499,0.72,32
2792,602,0.63,26
6271,510,0.85,37
1114,789,0.36,15
3068,397,0.84,86
6864,931,0.58,24
9747,146,0.3,84
6222,547,0.54,88
9215,654,0.37,28
7058,962,0.93,13
9289,786,0.13,73
6766,263,0.85,56
9729,643,0.36,5
7992,849,0.0,55
6753,524,0.47,59
2480,704,0.05,38
6995,942,0.01,41
8697,465,0.2,39
2593,768,0.64,54
4110,621,0.25,32
4883,789,0.7,28
1509,597,0.62,8
