a,b,c,y
166,264,493,0
372,237,479,1
357,493,132,1
270,332,209,1
478,147,124,1
453,324,408,2
401,490,401,0
449,306,111,2
276,180,441,2
358,130,142,0
333,128,281,1
226,194,442,1
235,221,197,0
265,215,221,2
104,168,196,0
494,200,368,2
349,231,316,0
270,464,349,2
174,287,345,2
196,217,428,1
302,280,363,2
373,467,496,2
296,288,342,1
243,274,338,0
228,438,241,2
222,424,499,2
219,120,219,2
267,421,234,0
274,248,317,0
388,229,485,2
312,269,352,1
128,225,274,2
187,466,360,2
426,281,353,1
436,208,434,1
283,350,312,2
132,166,131,1
413,326,456,0
273,497,365,0
201,131,343,2
137,140,184,1
198,418,199,2
200,442,486,0
403,169,338,2
130,181,288,2
381,305,469,0
208,467,453,0
465,220,219,2
320,124,354,1
142,421,495,0
362,402,498,0
300,156,122,2
449,252,465,2
291,371,392,0
293,271,359,0
103,396,446,1
463,225,131,1
493,483,366,2
288,225,107,2
196,401,123,1
497,128,417,0
321,123,457,0
222,152,314,2
288,413,269,0
277,187,170,1
468,130,468,2
177,287,280,1
203,210,238,0
479,366,157,2
390,268,428,2
354,390,435,1
482,108,319,2
132,187,242,2
160,374,455,2
291,393,378,0
330,313,185,1
242,380,183,1
276,309,118,2
194,271,320,2
334,156,182,0
205,328,493,2
285,250,151,1
358,499,277,0
492,327,185,0
389,397,108,0
412,434,247,2
476,305,189,0
230,423,291,2
217,268,375,1
334,244,295,2
